Time	Price	Volume
20140804:10:00:00.000289	1162.87	246774
20140804:10:00:00.000873	1601.17	109312
20140804:10:00:00.003926	1008.86	494090
20140804:10:00:00.004349	1088.21	116081
20140804:10:00:00.004545	983.34	591184
20140804:10:00:00.008328	1255.56	18886
20140804:10:00:00.008813	1396.69	510334
20140804:10:00:00.010534	1111.45	621158
20140804:10:00:00.010708	1011.04	13512
20140804:10:00:00.012698	1340.44	615717
20140804:10:00:00.013220	1067.93	226594
20140804:10:00:00.014277	1475.98	512104
20140804:10:00:00.015515	1615.85	288414
20140804:10:00:00.018830	1256.66	231252
20140804:10:00:00.019198	1037.46	230545
20140804:10:00:00.019599	1334.18	43889
20140804:10:00:00.023200	1064.84	479643
20140804:10:00:00.024588	1078.52	428287
20140804:10:00:00.024739	1354.89	528085
20140804:10:00:00.025270	1404.25	48273
20140804:10:00:00.026303	1250.17	325882
20140804:10:00:00.028186	1169.03	378024
20140804:10:00:00.030527	1182.84	318436
20140804:10:00:00.030892	1548.6	452462
20140804:10:00:00.031263	1323.82	11687
20140804:10:00:00.032271	1468.65	117939
20140804:10:00:00.032919	1623.19	576784
20140804:10:00:00.035864	1406.55	383356
20140804:10:00:00.037442	1091.48	634218
20140804:10:00:00.043074	968.95	492197
20140804:10:00:00.043463	1257.95	204437
20140804:10:00:00.046535	1742.15	700418
20140804:10:00:00.049201	1265.81	453387
20140804:10:00:00.051100	1162.6	466520
20140804:10:00:00.052011	1297.3	725540
20140804:10:00:00.054361	1401.31	567431
20140804:10:00:00.056466	1294.75	113218
20140804:10:00:00.056951	1161.97	235988
20140804:10:00:00.057975	1307.69	465936
20140804:10:00:00.059544	1467.37	708085
20140804:10:00:00.065200	1357.5	264189
20140804:10:00:00.065612	1091.03	636862
20140804:10:00:00.068224	1519.18	397780
20140804:10:00:00.070892	1541.57	184211
20140804:10:00:00.071631	1141.85	411077
20140804:10:00:00.071800	1504.87	592320
20140804:10:00:00.072020	1526.36	205964
20140804:10:00:00.074737	1185.77	411013
20140804:10:00:00.074908	1861.61	546062
20140804:10:00:00.075717	890.97	78923
20140804:10:00:00.075830	1012.12	396599
20140804:10:00:00.076501	1413.14	679430
20140804:10:00:00.077325	1217.11	691432
20140804:10:00:00.079804	879.45	728620
20140804:10:00:00.081182	1479.61	686643
20140804:10:00:00.085043	1546.76	275927
20140804:10:00:00.085446	1627.92	549339
20140804:10:00:00.086738	1236.9	327796
20140804:10:00:00.091740	924.57	159758
20140804:10:00:00.092282	1805.1	361144
20140804:10:00:00.092307	1101.22	749951
20140804:10:00:00.093208	1075.18	743772
20140804:10:00:00.095445	1518.57	724319
20140804:10:00:00.095662	1459.03	719508
20140804:10:00:00.100074	1226.73	428034
20140804:10:00:00.100370	1629.46	223700
20140804:10:00:00.101808	1205.69	375544
20140804:10:00:00.102556	1296.81	51157
20140804:10:00:00.103846	1197.13	159281
20140804:10:00:00.103868	1555.78	744407
20140804:10:00:00.104936	1699.69	731941
20140804:10:00:00.106547	955.23	621272
20140804:10:00:00.106853	1482.19	53729
20140804:10:00:00.107554	1651.11	123219
20140804:10:00:00.108311	927.84	486364
20140804:10:00:00.108471	1483.09	656630
20140804:10:00:00.108784	950.64	459773
20140804:10:00:00.109394	1895.23	265761
20140804:10:00:00.109859	1539.09	468744
20140804:10:00:00.111101	1241.33	692829
20140804:10:00:00.112692	1695.21	283562
20140804:10:00:00.113073	1393.57	67796
20140804:10:00:00.114220	1088.53	272155
20140804:10:00:00.115975	1580.75	326589
20140804:10:00:00.116042	1318.97	231605
20140804:10:00:00.116051	1252.42	141467
20140804:10:00:00.117185	1389.56	523666
20140804:10:00:00.117751	1474.72	13716
20140804:10:00:00.118648	1024.39	416755
20140804:10:00:00.118951	1332.84	306497
20140804:10:00:00.119418	1271.22	435574
20140804:10:00:00.120097	1372.33	458613
20140804:10:00:00.121188	1190.14	383021
20140804:10:00:00.123334	1621.54	620042
20140804:10:00:00.125382	1371.96	277125
20140804:10:00:00.125558	1439.59	228853
20140804:10:00:00.125649	1131.86	363107
20140804:10:00:00.125728	1112.89	554620
20140804:10:00:00.126021	1209.26	626639
20140804:10:00:00.131912	1238.43	450416
20140804:10:00:00.132597	1527.34	41600
20140804:10:00:00.134896	1518.66	575738
20140804:10:00:00.135104	1319.07	112618
20140804:10:00:00.135154	1130.74	554763
20140804:10:00:00.136894	1174.57	201200
20140804:10:00:00.136896	1324.35	60436
20140804:10:00:00.138261	1375.02	156431
20140804:10:00:00.142418	1204.03	510642
20140804:10:00:00.143284	1254.68	346912
20140804:10:00:00.143402	1296.19	170331
20140804:10:00:00.146764	1438.67	60652
20140804:10:00:00.147913	1319.73	348987
20140804:10:00:00.148732	1054.77	178895
20140804:10:00:00.149279	1175.78	491779
20140804:10:00:00.150075	1643.13	32406
20140804:10:00:00.150457	1184.34	627950
20140804:10:00:00.153106	1226.72	150373
20140804:10:00:00.153291	1521.42	154320
20140804:10:00:00.153474	1230.07	193984
20140804:10:00:00.154683	1477.49	575027
20140804:10:00:00.154795	1154.46	723940
20140804:10:00:00.155194	1200.53	374462
20140804:10:00:00.156031	1046.54	610893
20140804:10:00:00.156800	1186.21	623351
20140804:10:00:00.164774	1185.29	503890
20140804:10:00:00.165091	1642.69	289345
20140804:10:00:00.166426	1193.52	516770
20140804:10:00:00.170062	1537.14	295355
20140804:10:00:00.170300	933.91	74377
20140804:10:00:00.170584	1126.87	537741
20140804:10:00:00.171493	1237.92	611655
20140804:10:00:00.173202	1550.85	417469
20140804:10:00:00.173682	1118.39	217500
20140804:10:00:00.176260	1193.1	139778
20140804:10:00:00.176420	986.59	348712
20140804:10:00:00.176930	1230.76	675142
20140804:10:00:00.178578	1328.32	385590
20140804:10:00:00.179441	937.41	401917
20140804:10:00:00.179577	978.76	101409
20140804:10:00:00.179584	1283.54	436897
20140804:10:00:00.179845	1420.43	165800
20140804:10:00:00.180938	1354.59	430454
20140804:10:00:00.181945	1114.95	317790
20140804:10:00:00.183553	1277.46	179358
20140804:10:00:00.184624	1110.53	510408
20140804:10:00:00.185130	1434.33	403000
20140804:10:00:00.187427	1712.8	180274
20140804:10:00:00.188612	1489.39	557256
20140804:10:00:00.190567	1189.84	77036
20140804:10:00:00.192476	1704.4	545415
20140804:10:00:00.192545	1487.83	272322
20140804:10:00:00.193223	1639.61	389409
20140804:10:00:00.195661	1694.37	249730
20140804:10:00:00.196595	1305.87	578841
20140804:10:00:00.196723	1628.55	244271
20140804:10:00:00.198810	1438.76	557313
20140804:10:00:00.198814	1066.61	682681
20140804:10:00:00.199561	1448.99	642255
20140804:10:00:00.206556	1436.98	632509
20140804:10:00:00.208175	1448.9	218287
20140804:10:00:00.210735	1593.4	235468
20140804:10:00:00.211628	1651.54	713481
20140804:10:00:00.212021	1290.95	542189
20140804:10:00:00.214932	1977.78	633405
20140804:10:00:00.215018	1170.35	539857
20140804:10:00:00.216394	1208.85	26890
20140804:10:00:00.216677	1239.63	212296
20140804:10:00:00.217524	1221.61	564211
20140804:10:00:00.218001	1551.15	708734
20140804:10:00:00.219409	1323.44	256572
20140804:10:00:00.220335	994.78	607497
20140804:10:00:00.220584	1351.88	529428
20140804:10:00:00.221978	1074.17	59908
20140804:10:00:00.222142	1194.06	196422
20140804:10:00:00.222440	1115.45	7959
20140804:10:00:00.223639	1145.67	421664
20140804:10:00:00.226952	1071.15	89999
20140804:10:00:00.226962	1021.25	466671
20140804:10:00:00.229290	953.46	645746
20140804:10:00:00.231728	998.98	499920
20140804:10:00:00.232866	1268.16	683638
20140804:10:00:00.234065	1146.31	188667
